feature_idx,feature_type,bert_score,finbert_score,score_change,score_change_pct,bert_financial,finbert_financial,financial_change,financial_change_pct,bert_general,finbert_general,bert_specialization,finbert_specialization,specialization_change
158,General,0.24153464982906978,0.27471656699975333,0.033181917170683556,13.737953206368472,0.28420174,0.32649052,0.04228878,14.879845082759857,0.07817192,0.07268472,0.20602983,0.24831861,0.04228878
188,General,1.0640419721603394,1.112123727798462,0.04808175563812256,4.5187837412561365,1.079536,1.1149865,0.035450578,3.2838717103004456,0.9865721,1.0978101,0.092963874,0.12841445,0.035450578
27,General,0.4021929204463959,0.4292661249637604,0.027073204517364502,6.731397580871344,0.43891418,0.47185066,0.032936484,7.504082471132278,0.21858661,0.21634349,0.22032757,0.25326407,0.0329365
183,General,0.31857869029045105,0.3325583338737488,0.01397964358329773,4.388128901701606,0.28848603,0.31975988,0.03127384,10.840678215026855,0.469042,0.39655057,-0.18055597,-0.14928213,0.03127384
0,General,0.49682241678237915,0.5828664898872375,0.0860440731048584,17.318878979357304,0.48892835,0.51712996,0.02820161,5.768045410513878,0.53629285,0.91154927,-0.047364503,-0.019162893,0.02820161
121,General,0.234607994556427,0.2893672585487366,0.05475926399230957,23.340749361863324,0.23881605,0.26045883,0.021642774,9.062529355287552,0.21356766,0.43390965,0.025248393,0.046891168,0.021642774
21,General,0.2290593683719635,0.24050211906433105,0.011442750692367554,4.99553926726366,0.22392178,0.24330066,0.019378886,8.654310554265976,0.25474742,0.22650929,-0.030825645,-0.011446759,0.019378886
85,General,0.14604158699512482,0.16469433903694153,0.01865275204181671,12.772219492821165,0.16816448,0.1821791,0.014014617,8.333874493837357,0.13278817,0.07727068,0.03537631,0.049390927,0.014014617
152,General,0.23104937275250753,0.2387432391444842,0.007693866391976667,3.3299663618728292,0.27320576,0.2871853,0.013979554,5.116859450936317,0.06807077,0.04592811,0.20513499,0.21911454,0.013979554
111,General,0.35378605127334595,0.4222811758518219,0.06849512457847595,19.36060631332085,0.29730263,0.30849656,0.011193931,3.765163943171501,0.6362031,0.99120396,-0.33890048,-0.32770655,0.011193931
98,General,0.6275762915611267,0.6685125827789307,0.040936291217803955,6.522918690247671,0.602363,0.61348504,0.011122048,1.846402883529663,0.7536429,0.9436504,-0.15127993,-0.14015788,0.011122048
14,General,0.1875905841588974,0.19962555170059204,0.012034967541694641,6.415549903880303,0.18004696,0.18789597,0.007849008,4.3594226241111755,0.22530869,0.25827354,-0.045261726,-0.037412718,0.007849008
125,General,0.17969118058681488,0.16995130479335785,-0.009739875793457031,-5.4203415891918905,0.1854678,0.18812418,0.0026563853,1.4322622679173946,0.15080817,0.079086974,0.034659624,0.03731601,0.0026563853
53,General,0.283364474773407,0.2693314552307129,-0.014033019542694092,-4.952286116287381,0.29934102,0.30124435,0.0019033253,0.6358384620398283,0.20348184,0.10976682,0.095859185,0.09776251,0.0019033253
67,General,0.5903860330581665,0.5761005282402039,-0.014285504817962646,-2.419688816817792,0.6150974,0.6165522,0.0014547706,0.23651060182601213,0.4668293,0.37384188,0.1482681,0.14972287,0.0014547706
91,General,0.20960263907909393,0.22742681205272675,0.017824172973632812,8.50379224801021,0.24171916,0.24278301,0.0010638535,0.44011962600052357,0.049020004,0.15064578,0.19269915,0.193763,0.0010638535
46,General,0.4569533169269562,0.42504625022411346,-0.03190706670284271,-6.982565947309459,0.45552194,0.45648804,0.0009661019,0.21208678372204304,0.46411023,0.3557778,-0.008588284,-0.0076221824,0.0009661019
163,General,0.23981308937072754,0.1746042609214783,-0.06520882844924925,-27.191521789055805,0.2460562,0.24574631,-0.00030988455,-0.12594055151566863,0.2085977,0.08080043,0.037458494,0.03714861,-0.00030988455
95,General,0.011090422670046488,0.015197449922561645,0.004107027252515157,37.03219773226138,0.016137326,0.013695088,-0.002442238,-15.134093165397644,0.036741372,0.10249587,-0.020604046,-0.023046285,-0.0024422389
8,General,0.2473312944173813,0.24442146122455596,-0.0029098331928253396,-1.1764921215003554,0.29333383,0.2890904,-0.0042434335,-1.446622610092163,0.18220589,0.07164657,0.11112794,0.10688451,-0.0042434335
72,General,0.284260094165802,0.27180758118629456,-0.012452512979507446,-4.380675738552383,0.26418296,0.2549441,-0.009238869,-3.4971479326486588,0.3846457,0.35612515,-0.120462745,-0.12970161,-0.009238869
18,General,0.1031620313723882,0.08207980990409852,-0.021082221468289683,-20.436027856206444,0.12860991,0.119210586,-0.009399325,-7.308398187160492,0.07114916,0.019545635,0.057460748,0.048061423,-0.009399325
