layer,feature_idx,rank,type,bert_total,finbert_total,improvement,improvement_percentage,top_category,top_category_improvement
7,20970,9,improving,2.0088417381048203,3.602293372154236,1.5934516340494156,79.32190953083827,currency_forex,0.1748325675725937
7,16618,10,improving,0.9943201541900635,2.5839511901140213,1.5896310359239578,159.87114544929423,earnings_analysis,0.17123723030090332
7,1803,1,decreasing,5.281576573848724,2.541049025952816,-2.7405275478959084,-51.888437181362725,,0.0
7,21378,2,decreasing,5.997623682022095,3.3164815455675125,-2.681142136454582,-44.70340711807207,,0.0
7,18379,3,decreasing,7.0843817591667175,4.4484312534332275,-2.63595050573349,-37.20791159513608,,0.0
7,23831,4,decreasing,6.657174438238144,4.232660621404648,-2.424513816833496,-36.41956261902009,,0.0
7,23240,5,decreasing,6.229040414094925,3.8991971760988235,-2.3298432379961014,-37.40292371492558,,0.0
7,16174,6,decreasing,4.621981263160706,2.3308661431074142,-2.2911151200532913,-49.56997842802877,,0.0
7,24508,7,decreasing,8.860259294509888,6.646628111600876,-2.213631182909012,-24.98381939885517,,0.0
7,20094,8,decreasing,4.440236926078796,2.3439957574009895,-2.096241168677807,-47.21011961422518,,0.0
7,15224,9,decreasing,3.9163069278001785,1.8294549211859703,-2.086852006614208,-53.286221937098986,,0.0
7,5621,10,decreasing,6.790688008069992,4.723289102315903,-2.0673989057540894,-30.444616219339625,,0.0
8,4339,1,improving,1.2999941930174828,3.6091773360967636,2.309183143079281,177.63026463651286,derivatives_options,0.24447479844093323
8,11988,2,improving,1.8110856786370277,3.7720047682523727,1.960919089615345,108.27312599941517,currency_forex,0.2318602055311203
8,22442,3,improving,3.2821692377328873,5.131535768508911,1.8493665307760239,56.345861263962796,corporate_finance,0.18537792563438416
8,16672,4,improving,1.6655314266681671,3.3768498301506042,1.7113184034824371,102.74909051887158,regulatory_compliance,0.20285460352897644
8,8199,5,improving,2.34419521689415,4.054631322622299,1.7104361057281494,72.96474654094084,earnings_analysis,0.23707637190818787
8,9877,6,improving,1.84663724899292,3.546261206269264,1.6996239572763443,92.03886410280975,currency_forex,0.22882391512393951
8,7145,7,improving,3.0864996016025543,4.765141785144806,1.6786421835422516,54.38659953923263,earnings_analysis,0.20421460270881653
8,20970,8,improving,1.1507412362843752,2.8089478239417076,1.6582065876573324,144.09899645220074,credit_lending,0.18695011734962463
8,6772,9,improving,3.3315115720033646,4.957984268665314,1.6264726966619492,48.82086274134726,earnings_analysis,0.22455668449401855
8,13270,10,improving,1.3227847889065742,2.897517666220665,1.5747328773140907,119.04679269188603,regulatory_compliance,0.18132337927818298
8,18070,1,decreasing,5.7325573563575745,3.0506882667541504,-2.681869089603424,-46.78311821775042,,0.0
8,1960,2,decreasing,6.2448810338974,3.6239705681800842,-2.6209104657173157,-41.96894139846767,,0.0
8,7586,3,decreasing,4.2313016057014465,1.682801991701126,-2.5484996140003204,-60.229684514651204,,0.0
8,24489,4,decreasing,6.007552325725555,3.4900893419981003,-2.517462983727455,-41.90496966221454,,0.0
8,3541,5,decreasing,7.88369956612587,5.423353880643845,-2.460345685482025,-31.2080091551518,,0.0
8,312,6,decreasing,6.262178927659988,3.8162443190813065,-2.445934608578682,-39.058842503990526,,0.0
8,1803,7,decreasing,4.603871256113052,2.166377268731594,-2.4374939873814583,-52.9444427632613,,0.0
8,21840,8,decreasing,3.8153291642665863,1.4023875780403614,-2.412941586226225,-63.24333959179447,,0.0
8,24508,9,decreasing,7.935610890388489,5.571004867553711,-2.364606022834778,-29.797403785498332,,0.0
8,23216,10,decreasing,4.2522231340408325,1.8938045278191566,-2.358418606221676,-55.46319010860989,,0.0
9,10370,1,improving,1.4899408724159002,4.109862416982651,2.6199215445667505,175.84063740291603,derivatives_options,0.2879493832588196
9,22442,2,improving,2.4519100561738014,4.780489802360535,2.3285797461867332,94.97003084703165,derivatives_options,0.2539060115814209
9,8199,3,improving,2.0786230340600014,4.211064711213112,2.1324416771531105,102.58914829443965,earnings_analysis,0.3461664021015167
9,11011,4,improving,2.047839604318142,4.127103269100189,2.0792636647820473,101.53449763566414,corporate_finance,0.24842648208141327
9,2461,5,improving,2.609233245253563,4.635257124900818,2.026023879647255,77.64824687742866,derivatives_options,0.2870834171772003
9,14577,6,improving,1.394631750881672,3.3798546120524406,1.9852228611707687,142.34745807852042,currency_forex,0.2283659279346466
9,12402,7,improving,1.3749849498271942,3.330886408686638,1.9559014588594437,142.24893478873093,commodities_trading,0.21418343484401703
9,7742,8,improving,1.8709155172109604,3.796087622642517,1.9251721054315567,102.90000149293104,investment_strategies,0.23156996071338654
9,15496,9,improving,1.9862311333417892,3.874219834804535,1.8879887014627457,95.05382632789893,credit_lending,0.29631614685058594
9,23050,10,improving,1.7033133059740067,3.5671429187059402,1.8638296127319336,109.42376809084821,credit_lending,0.26492437720298767
9,3541,1,decreasing,9.222377717494965,5.497767925262451,-3.7246097922325134,-40.38665409602793,,0.0
9,11897,2,decreasing,5.709350675344467,2.5791471153497696,-3.1302035599946976,-54.82591160549531,,0.0
9,18070,3,decreasing,6.7310062646865845,3.7690986692905426,-2.961907595396042,-44.00393454593767,,0.0
9,5149,4,decreasing,4.268547922372818,1.3247311636805534,-2.9438167586922646,-68.96529698931701,,0.0
9,788,5,decreasing,4.279397889971733,1.4266994893550873,-2.852698400616646,-66.66120952752463,,0.0
9,21486,6,decreasing,4.765456527471542,1.9156683087348938,-2.8497882187366486,-59.800948688301126,,0.0
9,20705,7,decreasing,5.658033341169357,2.8109109848737717,-2.8471223562955856,-50.319999540249526,,0.0
9,17493,8,decreasing,5.650496274232864,2.823959320783615,-2.8265369534492493,-50.022808816570915,,0.0
9,7705,9,decreasing,6.2419330179691315,3.4323423504829407,-2.809590667486191,-45.01154778330449,,0.0
9,21948,10,decreasing,4.605613857507706,1.8041792064905167,-2.801434651017189,-60.826520233950156,,0.0
10,8188,1,improving,1.6106178611516953,4.244644969701767,2.6340271085500717,163.54140580015874,earnings_analysis,0.33469805121421814
10,24509,2,improving,0.9264339935034513,3.52308888733387,2.5966548938304186,280.28492952663356,fintech_innovation,0.2745670974254608
10,18354,3,improving,1.315775889903307,3.7166440337896347,2.4008681438863277,182.46786128722692,investment_strategies,0.32078051567077637
10,13413,4,improving,1.3980745412409306,3.671192690730095,2.2731181494891644,162.58919436531804,currency_forex,0.2565761208534241
10,13863,5,improving,1.6962991878390312,3.941485747694969,2.245186559855938,132.35793324173895,credit_lending,0.2964736819267273
10,9197,6,improving,1.4593940488994122,3.696481376886368,2.2370873279869556,153.28877860953014,earnings_analysis,0.32075226306915283
10,12749,7,improving,1.4774011820554733,3.6661005467176437,2.1886993646621704,148.14522801467928,currency_forex,0.23063233494758606
10,11264,8,improving,2.8167958110570908,5.003650054335594,2.1868542432785034,77.63623571614849,earnings_analysis,0.24691005051136017
10,10243,9,improving,0.8590161465108395,3.0349413827061653,2.175925236195326,253.30434354500628,interest_rates_monetary,0.2614007890224457
10,16317,10,improving,2.1076663862913847,4.276346981525421,2.1686805952340364,102.8948698451525,market_movements,0.2900746762752533
10,3541,1,decreasing,8.870639383792877,4.656920716166496,-4.213718667626381,-47.50185956803609,,0.0
10,5200,2,decreasing,6.691799968481064,2.6818115189671516,-4.009988449513912,-59.92391378117847,,0.0
10,11232,3,decreasing,5.419596552848816,1.5135202258825302,-3.9060763269662857,-72.07319367169008,,0.0
10,14604,4,decreasing,7.84217643737793,4.308267787098885,-3.533908650279045,-45.062855624226934,,0.0
10,7586,5,decreasing,4.237267330288887,0.80224684253335,-3.435020487755537,-81.06688136230143,,0.0
10,22434,6,decreasing,5.121661692857742,1.7613984271883965,-3.360263265669346,-65.60884846795746,,0.0
10,18771,7,decreasing,4.469005525112152,1.1192147135734558,-3.3497908115386963,-74.95606763562962,,0.0
10,10710,8,decreasing,4.9869451224803925,1.656928539276123,-3.3300165832042694,-66.7746785805922,,0.0
10,3647,9,decreasing,5.054328620433807,1.7680006697773933,-3.286327950656414,-65.02006875588444,,0.0
10,17493,10,decreasing,6.2180328369140625,2.9646314084529877,-3.253401428461075,-52.322036704513394,,0.0
11,16317,1,improving,2.427256867289543,5.460217401385307,3.032960534095764,124.95424618932773,derivatives_options,0.39979279041290283
11,7127,2,improving,0.6835660319775343,3.666807174682617,2.983241142705083,436.42325093778254,market_movements,0.32337257266044617
11,3290,3,improving,2.0342922881245613,4.890079826116562,2.8557875379920006,140.38236002883096,investment_strategies,0.3160629868507385
11,5655,4,improving,1.5895279720425606,4.298828095197678,2.709300123155117,170.44683413963165,derivatives_options,0.33291828632354736
11,18645,5,improving,1.3828875813633204,4.080242618918419,2.6973550375550985,195.05237116893284,market_movements,0.3464590907096863
11,6067,6,improving,2.3314088732004166,5.028100967407227,2.69669209420681,115.66791709676232,currency_forex,0.2974037528038025
11,23683,7,improving,1.1743771247565746,3.8510392606258392,2.6766621358692646,227.92185377690313,interest_rates_monetary,0.3387695550918579
11,12500,8,improving,1.8340770155191422,4.509666264057159,2.6755892485380173,145.88205464166273,earnings_analysis,0.3224546015262604
11,9259,9,improving,0.6329637924209237,3.2919183671474457,2.658954574726522,420.0800368925845,earnings_analysis,0.34536129236221313
11,10912,10,improving,2.408369854092598,4.99898661673069,2.590616762638092,107.56723048493049,currency_forex,0.33557093143463135
11,5200,1,decreasing,5.241510063409805,1.8473813105374575,-3.394128752872348,-64.75478832122774,,0.0
11,24048,2,decreasing,4.966696321964264,1.6113919541239738,-3.35530436784029,-67.55606027786504,,0.0
11,4861,3,decreasing,4.305940687656403,1.0675512589514256,-3.238389428704977,-75.20747859968293,,0.0
11,23831,4,decreasing,6.230834126472473,3.1289278715848923,-3.101906254887581,-49.783162044555645,,0.0
11,3079,5,decreasing,4.525825500488281,1.5502966791391373,-2.975528821349144,-65.74554883862768,,0.0
11,10682,6,decreasing,5.066304862499237,2.1845665872097015,-2.8817382752895355,-56.88047497757389,,0.0
11,24563,7,decreasing,5.420227587223053,2.5448889769613743,-2.8753386102616787,-53.04830025467568,,0.0
11,14604,8,decreasing,4.927574872970581,2.0544322207570076,-2.8731426522135735,-58.30743764327136,,0.0
11,20328,9,decreasing,4.431054562330246,1.5737788192927837,-2.8572757430374622,-64.48297344112488,,0.0
11,19643,10,decreasing,4.1506529450416565,1.2957938462495804,-2.854859098792076,-68.78096361499885,,0.0
